Country Name,Country Code,Year,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)_scaled,Population growth (annual %)_scaled,People using safely managed sanitation services (% of population)_scaled,Access to electricity (% of population)_scaled,People using at least basic drinking water services (% of population)_scaled,Population living in slums (% of urban population)_scaled,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)_scaled",GDP growth (annual %)_scaled,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_scaled,"Population, total_scaled","Life expectancy at birth, total (years)_scaled",GDP per capita (current US$)_scaled
"Hong Kong SAR, China",HKG,2001,,0.36584119067728654,0.7520800282886331,1.0,0.9855877089828908,,0.5804039351497133,0.37736853692523403,0.7573129212044328,-0.20084668264238534,1.1974079294917814,0.9527621780177299
Slovak Republic,SVK,2009,0.006322444678609062,0.3475786271449074,0.8348109726874959,1.0,0.9784997863131142,,0.5456955469061263,0.33566860959172823,0.8527232090496878,-0.2110156726060292,0.4567866706376749,0.6876874477084645
Qatar,QAT,2014,,0.6939035068567139,0.9290186909490591,1.0,0.9992597211189034,0.0,0.975451285666125,0.41018175214210767,2.875373422768379,-0.23578665225108383,1.1946467988665832,1.7962314980773737
Central African Republic,CAF,2002,,0.409650546715811,0.195857161369543,0.053427419354838704,0.4669467122452949,0.8328485587616916,0.7593551748444634,0.39837351702965756,-1.2861590079723129,-0.22158620891956518,-2.736856335712673,-1.9644284095375482
India,IND,2009,0.36459430979978924,0.3872906538655045,0.233882089536206,0.7479838709677419,0.8221124151159334,,0.49859021116184976,0.4275565434709098,-0.4487436336089215,9.132783309014492,-0.4772802323197042,-1.0294769523143026
Turks and Caicos Islands,TCA,2015,,0.47486383582391556,,1.0,,,,0.45129247463959576,-0.12027922299849414,-0.2519843588690079,0.7311265045451858,0.9653043008414701
Barbados,BRB,2004,,0.36082157263733866,,0.998991935483871,0.9798866554280545,,0.7211529620889392,0.3832164659971709,-0.06119314358569714,-0.25021771574713003,0.4841204763243339,0.5281604586072078
Australia,AUS,2005,,0.3803714939082976,0.94075001442911,1.0,0.9972717953803412,,0.6346808054184926,0.39519509767815175,1.846222456074152,-0.0977507466556923,1.1316680455611197,1.150143404822861
France,FRA,2010,0.001053740779768177,0.35846041249924154,0.8884730287988469,1.0,0.9999999690752384,0.0,0.5076006006926354,0.38726344286808023,0.6926532794632356,0.2457049530453228,1.2251857360829965,1.2548803556501997
New Caledonia,NCL,2017,,0.34486002785171155,,1.0,0.9828483008971198,,0.5687272058598178,,1.7023464236209405,-0.25009328883584847,0.7519473719631581,1.109941291945724
Haiti,HTI,2023,,0.37852746340793114,,0.5090725806451613,,,0.6467866008765208,0.3607004029406781,-1.0741430793380364,-0.16314568079130753,-0.6779797412011336,-0.7495182808580917
Equatorial Guinea,GNQ,2010,,0.48257611565222946,,0.658266129032258,0.5135298122097709,0.6071852108052996,0.5535872996414232,0.312167103693092,0.5224485606023265,-0.24315868637308558,-1.427986069175276,0.5677817064731518
Chad,TCD,2001,,0.4455906310777136,0.0850607988676293,0.026209677419354836,0.2524861224197228,,0.6974777038830486,0.4536523965409951,-1.3288129150462478,-0.1848428455275388,-2.5700618459053177,-2.119496994344664
Brunei Darussalam,BRN,2022,,0.36788588999392857,,1.0,0.9987708845777685,0.21638894076739396,0.6281528701461888,0.36231962044013205,1.9339150770504907,-0.24877746352786972,0.23006038373236465,1.1884254419885105
Ukraine,UKR,2004,0.029504741833508954,0.3224599526149026,0.438321905681682,0.9939516129032258,0.9724713054591452,0.04608948734863611,0.5085353519874957,0.4545956488071087,0.9503575174522317,0.11516157993782514,-0.3894457533761315,-0.8738214574044528
Croatia,HRV,2015,0.0073761854583772385,0.3074249636610679,0.775099086795109,1.0,,,0.4529406356308804,0.3894827555619725,0.43300969451465005,-0.22047083898022907,0.7259622190240856,0.49797473995841895
Sierra Leone,SLE,2005,,0.42490616428982847,0.0618382731678042,0.1058467741935484,0.3343404521537577,,0.6457905544147842,0.40343945343791393,-1.2527538187360716,-0.21013266119341048,-2.5700618459053177,-1.5731733642050865
St. Lucia,LCA,2020,,0.3535599525387517,,1.0,0.961728357633828,0.004508754197149185,0.4696435686046154,0.20604925418445913,-0.41292201228252834,-0.25089964383648244,0.16077126757091922,0.2585634041871184
Trinidad and Tobago,TTO,2000,,0.35518170596483156,,0.9122983870967741,0.9041321221330023,0.11081515871215553,0.6127064880934138,0.4209537492496564,1.571674225945016,-0.24215787220466653,-0.2578078101925621,0.06364512058461487
Spain,ESP,2019,0.009483667017913594,0.3652281616698399,0.900107721402014,1.0,0.9990880001771647,,0.5292071470164577,0.38699434679585676,0.637968989113035,0.10856801044158738,1.4718837386763213,1.0576745643954366
United Kingdom,GBR,2005,0.002107481559536354,0.3643180222093341,0.9780405642693751,1.0,1.0,,0.5906249042263017,0.39229760917880957,1.130869986142435,0.21028674238483136,0.9277051300312188,1.2764060686040948
